,Description
none,No restrictions on electricity supply from national system.
AUT80,Annual electricity demand supplied from national system limited to 20 % (80 % of demand is supplied locally).
AUT90,Annual electricity demand supplied from national system limited to 10 % (90 % of demand is supplied locally).
