general;general;commodities;commodities;economics;demand;demand;demand;demand;demand;demand;demand;demand;demand;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;generation;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;storage;grid;grid;grid;grid;grid;grid;grid;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt;flexopt
NEP2035_Relimit_BATlimit;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_DSMno;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_DSMlow;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_DSMhigh;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_AUT80;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_AUT90;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_AUT90_BAThigh;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_PTHnep2035nostor;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_PTHnep2035medstor;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
NEP2035_PTHnep2035largestor;2035;['fuel_oil', 'natural_gas', 'wood', 'coal', 'solar', 'methane'];0;0.06;['hh', 'rca', 'ind'];0;0;0;ioew;['hh_efh', 'hh_mfh', 'rca'];0;0;0;SQ;SQ;2086;1.5;SQ;0.25;0.5;0.7;SQ;SQ;0.1;20;4.2;['pv_ground', 'pv_roof_small', 'pv_roof_large', 'hydro', 'wind', 'bio'];0;0.17;0.7;0.85;0;7;1;60;0;1.2;0.125;0.47;110;110;1.2;0.125;0.47;330000;310000;40;1250;0;0;60;40;6.7;6.7;0.021;1;1;1;60;60;600;0.001;1;1;0.988;0.0001;0.997;0.988;1;1;0.0001;0;0;0;0;0.0042;0.94;0.93;0;0;0;0;0.0042;0.94;0.93;1;0.5;0.5;40;0.4;0.4;0.8;2;0;1000;0.95;0;interval;24;12;flex_min
